Acc_X,Acc_Y,Acc_Z
0.523566,-0.233451,10.60485
0.455761,-0.143227,10.629998
0.427943,-0.065775,10.650877
0.459742,-0.02739,10.707753
0.532419,-0.110697,10.65837
0.501163,-0.01981,10.743228
0.315713,0.009646,10.710518
0.583886,-0.092563,10.731306
0.475205,0.045298,10.732371
0.39111,-0.013111,10.668473
0.379833,0.004625,10.615045
0.460075,-0.067003,10.664165
0.389448,-0.111534,10.56162
0.258283,0.005555,10.573137
0.494743,-0.052725,10.613153
0.414359,-0.058515,10.570302
0.304527,-0.029482,10.509044
0.569557,-0.145331,10.586975
0.576283,-0.169006,10.56816
0.299906,-0.068055,10.46932
0.721626,-0.336813,10.471242
0.882896,-0.303147,10.508935
0.469,-0.261668,10.405814
0.815941,-0.307688,10.41247
1.056161,-0.448773,10.460913
0.466762,-0.207286,10.409948
0.76431,-0.235409,10.437419
1.097179,-0.342124,10.459098
0.461818,-0.283227,10.384099
0.881836,-0.400471,10.368977
0.849111,-0.44941,10.331503
0.532366,-0.394718,10.266279
0.747804,-0.351753,10.23402
0.670168,-0.340689,10.138811
0.637239,-0.305655,10.068851
0.663248,-0.339001,10.003159
0.759413,-0.332552,9.93545
0.696387,-0.308875,9.856474
0.715652,-0.358342,9.747254
0.683115,-0.391182,9.616312
0.690446,-0.296392,9.561598
0.762795,-0.279787,9.51767
0.761314,-0.177941,9.495511
0.863442,-0.067729,9.493906
0.874638,-0.000696,9.575848
0.838838,0.078415,9.666505
0.773078,0.036702,9.717763
0.755819,-0.101605,9.716445
0.702172,-0.186835,9.754147
0.714306,-0.215736,9.721187
0.827645,-0.1458,9.710931
0.880566,-0.099964,9.687032
0.972885,-0.006903,9.647694
0.840214,-0.02273,9.582352
0.894624,0.0267,9.583658
0.969177,-0.124488,9.449724
1.07253,-0.214853,9.312279
1.038409,-0.203475,9.229293
1.054571,-0.228997,9.142728
0.96375,-0.185115,9.094712
1.013655,0.017552,9.015514
1.058425,0.221507,8.977845
1.05187,0.362722,8.939212
1.028453,0.168752,8.805721
1.082242,0.257846,8.751847
1.010934,0.267165,8.746698
1.047644,0.302779,8.718696
1.146245,0.451502,8.805324
1.09557,0.478922,8.8812
1.145812,0.616153,8.976555
1.234934,0.856841,9.09578
1.282424,0.91315,9.15744
1.282645,0.891268,9.108355
1.274316,0.724197,9.051814
1.187171,0.439487,8.966304
1.237901,0.327512,8.953562
1.482913,0.150284,8.848276
1.63741,0.130113,8.799823
1.505496,0.028505,8.77001
1.273407,0.184967,8.867077
1.133926,0.092499,8.904338
0.977922,0.02949,8.95406
1.142269,-0.045912,9.050701
1.236883,0.022147,9.079191
1.273937,-0.130248,9.042935
1.231116,-0.150118,9.167106
1.265528,-0.011613,9.225252
1.18719,-0.037645,9.191107
1.371496,0.05129,9.291224
1.315854,-0.10457,9.143984
1.240777,-0.204387,9.134129
1.362749,-0.180697,9.059562
1.418249,-0.218394,8.986913
1.450394,-0.075146,9.002717
1.407988,-0.046011,9.088406
1.468852,0.026054,9.106641
1.43947,0.09211,9.212144
1.374541,0.076538,9.28264
1.332419,0.034554,9.336727
1.300434,-0.017125,9.423397
1.276892,0.047432,9.4261
1.354764,0.095356,9.415166
