PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
03967,8618014,0.000648,-0.204429,9.717012,0.003179,0.003486,0.003739
03968,8618039,-0.193174,0.010038,9.753107,-0.002027,0.004526,0.005694
03969,8618064,-0.123519,-0.191781,9.887884,-0.011382,-0.002520,0.005146
03970,8618089,-0.167020,-0.219739,9.994052,-0.004883,0.000589,0.002489
03971,8618114,-0.320879,0.072349,9.865859,-0.010748,-0.004520,0.005112
03972,8618139,-0.159944,0.036871,9.779646,-0.016671,-0.006759,0.002676
03973,8618164,-0.202902,-0.216930,9.787939,-0.019006,-0.011151,0.005061
03974,8618189,-0.070339,-0.333432,9.761569,-0.010043,-0.009349,0.001244
03975,8618214,-0.032477,-0.197263,9.773063,-0.005506,-0.007482,0.000758
03976,8618239,0.002479,-0.199197,9.827754,-0.009581,-0.007750,0.002299
03977,8618264,-0.131347,-0.172940,9.947371,-0.007021,-0.005634,0.003519
03978,8618289,-0.173723,-0.114285,9.922219,-0.010540,-0.010687,0.003297
03979,8618314,-0.147889,-0.118604,9.741640,-0.011173,-0.008126,0.010055
03980,8618339,-0.190955,-0.086707,9.696008,-0.013316,-0.009359,0.001557
03981,8618364,-0.160349,-0.215425,9.860752,-0.012767,-0.004902,0.004836
03982,8618389,-0.094271,-0.222876,9.963343,-0.011662,-0.005698,-0.000763
03983,8618414,-0.027053,-0.196905,9.763858,-0.011314,-0.002697,0.006231
03984,8618439,-0.080779,-0.084574,9.654379,-0.004576,-0.001778,0.002714
03985,8618464,-0.131925,-0.159630,9.774803,-0.006551,-0.003247,0.000717
03986,8618489,0.019398,-0.226568,9.856652,-0.003743,0.002677,-0.000674
03987,8618514,0.002610,-0.185993,10.063837,-0.007780,0.012354,0.000454
03988,8618539,-0.094901,-0.103461,9.935233,-0.010499,0.014230,0.003465
03989,8618564,-0.197171,-0.066085,9.806820,-0.019185,0.007669,0.004754
03990,8618589,-0.089844,-0.200286,9.734433,-0.020826,0.012345,0.003351
03991,8618614,-0.132984,-0.165085,9.756248,-0.015998,0.020979,0.004961
03992,8618639,-0.238111,-0.103344,9.799619,-0.011052,0.009873,0.008313
03993,8618664,-0.094424,-0.206668,9.802600,-0.012295,0.006605,0.004102
03994,8618689,0.016776,-0.179666,9.788369,-0.007251,0.014243,0.003842
03995,8618714,-0.140982,-0.087588,9.771510,-0.013171,0.015990,0.005246
03996,8618739,-0.249608,-0.077499,9.897896,-0.012702,0.006343,0.004388
03997,8618764,-0.035094,-0.152106,9.888788,-0.020820,0.005601,0.005438
03998,8618789,-0.103874,-0.118586,9.907361,-0.020933,0.007255,0.005243
03999,8618814,-0.126233,-0.202801,9.803598,-0.021644,0.010782,0.004984
04000,8618839,-0.127723,-0.223062,9.781116,-0.019380,0.007837,0.004803
04001,8618864,-0.079680,-0.190721,9.734077,-0.018463,0.003900,0.003742
04002,8618889,-0.035841,-0.160945,9.770890,-0.016643,0.006355,0.003815
04003,8618914,-0.134244,-0.178074,9.852167,-0.015466,0.004923,0.005362
04004,8618939,-0.115228,-0.172462,9.872933,-0.012793,0.009611,0.003996
04005,8618964,-0.117936,-0.124374,9.871050,-0.014831,0.008770,0.005835
04006,8618989,-0.189418,-0.085043,9.826751,-0.019391,0.009231,0.004131
04007,8619014,-0.193827,-0.106150,9.846159,-0.016031,0.005215,0.003574
04008,8619039,-0.193995,-0.195271,9.867092,-0.019862,-0.002468,0.002580
04009,8619064,-0.163037,-0.166955,9.859106,-0.016719,-0.003460,0.006776
04010,8619089,-0.067700,-0.307518,9.864134,-0.015970,-0.004841,0.003887
04011,8619114,-0.219705,-0.649450,10.072112,-0.003631,-0.011258,0.000592
04012,8619139,-0.229562,-0.667418,10.377403,0.017426,-0.019203,-0.001207
04013,8619164,-0.100547,-0.366306,10.473008,0.034591,-0.026897,0.001324
04014,8619189,-0.002253,-0.039828,10.400821,0.030256,-0.022903,0.000869
04015,8619214,-0.152752,-0.184192,10.367168,0.032047,-0.027904,0.003599
04016,8619239,-0.186799,-0.211249,10.283273,0.043707,-0.026159,0.000540
04017,8619264,-0.214196,-0.156568,10.315125,0.051812,-0.024077,0.004672
04018,8619289,-0.186717,-0.152516,10.303752,0.055466,-0.025068,0.005024
04019,8618587,NaN,NaN,NaN,NaN,NaN,NaN
04020,8619314,-0.361105,-0.377878,10.453363,0.061163,-0.031498,0.005899
04021,8619339,-0.065237,-0.574355,10.292852,0.079248,-0.031430,0.006897
04022,8619364,-0.079648,-0.303593,10.305132,0.091403,-0.026572,0.002036
04023,8619389,-0.266468,-0.119464,10.259344,0.087751,-0.036380,0.006875
04024,8619414,-0.056076,-0.277551,10.071073,0.090245,-0.037992,0.002653
04025,8619439,-0.061372,-0.325589,10.098882,0.099739,-0.032081,0.005639
04026,8619464,-0.304473,-0.290329,10.310107,0.101126,-0.043529,0.003890
04027,8619489,-0.104949,-0.289492,10.457657,0.105456,-0.054978,0.000595
04028,8619514,-0.219666,-0.158498,10.502160,0.107323,-0.053681,0.002982
04029,8619539,-0.202179,-0.159892,10.329165,0.115647,-0.055397,0.002494
04030,8619564,-0.207644,-0.202914,10.206126,0.119857,-0.061359,0.005021
04031,8619589,-0.275091,-0.101216,10.180275,0.119320,-0.070886,0.001452
04032,8619614,-0.061526,-0.263302,10.206745,0.120168,-0.071935,0.005563
04033,8619639,-0.010926,-0.471185,10.083660,0.134443,-0.060274,0.004692
04034,8619664,-0.211124,-0.402890,10.277387,0.151301,-0.057413,0.005759
04035,8619689,-0.160338,-0.324994,10.632930,0.164572,-0.070001,0.003953
04036,8619714,-0.175361,-0.236844,10.909314,0.167822,-0.073180,0.003742
04037,8619739,-0.329536,-0.249361,10.838119,0.165262,-0.085112,0.007918
04038,8619764,-0.227031,-0.479424,10.462179,0.175878,-0.097822,0.001138
04039,8619789,-0.100895,-0.461476,10.480146,0.193461,-0.093198,0.002790
04040,8619814,-0.255148,-0.137876,10.597439,0.201625,-0.097825,0.004166
04041,8619839,-0.221407,-0.069402,10.471128,0.202248,-0.102957,0.003848
04042,8619864,-0.026927,-0.241769,10.415073,0.209615,-0.105579,0.005343
04043,8619889,-0.110702,-0.360298,10.349531,0.219306,-0.104786,0.001699
04044,8619914,-0.195896,-0.334648,10.240871,0.232520,-0.110915,0.002024
04045,8619939,-0.118929,-0.201059,10.176569,0.239759,-0.112137,0.005399
04046,8619964,-0.065508,-0.215860,10.179476,0.243873,-0.111347,0.003543
04047,8619989,-0.040659,-0.287006,10.227561,0.248220,-0.111316,0.003568
04048,8620014,-0.068434,-0.288219,10.066517,0.256190,-0.111125,-0.001724
04049,8620039,-0.098910,-0.156067,10.020298,0.255176,-0.122677,0.002817
04050,8620064,0.335331,-0.308144,9.916869,0.266457,-0.097732,0.001702
04051,8620089,-0.151766,-0.158213,10.000850,0.274777,-0.090514,-0.000621
04052,8620114,-0.036351,-0.229172,9.762086,0.277068,-0.100349,0.002939
04053,8620139,0.186701,-0.281016,9.683099,0.300085,-0.086372,0.001547
04054,8620164,0.041318,0.255101,10.053373,0.289717,-0.072110,0.000887
04055,8620189,-0.421397,-0.075130,9.686738,0.289024,-0.093217,0.001311
04056,8620214,1.232877,0.376491,9.524887,0.249568,-0.083610,-0.008351
04057,8620239,-0.473203,-0.878955,9.538847,0.284415,-0.083749,-0.011957
04058,8620264,0.993594,-0.272045,8.892402,0.297944,-0.036792,-0.013398
04059,8620289,-0.653222,-0.452475,10.951018,0.284202,-0.063832,-0.010134
04060,8620314,-0.124714,0.003863,10.322626,0.317793,-0.053777,0.003921
04061,8620339,-1.145916,0.980348,10.164149,0.278459,-0.092822,0.006235
04062,8620364,-0.143149,-0.058665,9.799662,0.271348,-0.099069,0.000355
04063,8620389,-0.136608,-0.145965,9.940648,0.310322,-0.079268,0.009333
04064,8620414,-0.435791,0.449536,10.394687,0.311407,-0.090583,0.009177
04065,8620439,0.047844,0.431621,10.200531,0.287043,-0.105961,0.001872
04066,8620464,0.228250,0.282271,10.281009,0.271494,-0.104703,0.003376
04067,8620489,0.045666,-0.027494,10.022525,0.271823,-0.105403,0.000703
04068,8620514,-0.149861,-0.443040,10.087791,0.286558,-0.115959,-0.002424
04069,8620539,-0.127847,-0.106898,9.852137,0.298838,-0.127192,-0.001134
