Gyr_X,Gyr_Y,Gyr_Z
-0.231922,0.345824,0.624568
-0.242585,0.326676,0.610183
-0.257297,0.311475,0.601436
-0.271392,0.286079,0.588856
-0.279048,0.269396,0.574464
-0.292412,0.243328,0.560188
-0.308888,0.221805,0.546459
-0.315833,0.193324,0.529572
-0.324838,0.169306,0.513921
-0.333925,0.146175,0.494555
-0.339925,0.121317,0.479738
-0.345734,0.092737,0.463521
-0.353484,0.068588,0.446179
-0.355133,0.048163,0.429637
-0.35425,0.021286,0.410268
-0.357206,-0.009038,0.393529
-0.357686,-0.034381,0.379055
-0.360543,-0.049177,0.364461
-0.362957,-0.07342,0.348385
-0.361741,-0.094737,0.331823
-0.359261,-0.101632,0.318942
-0.363033,-0.12404,0.305497
-0.348924,-0.155155,0.294999
-0.336888,-0.178082,0.282884
-0.334609,-0.188416,0.272471
-0.326692,-0.207861,0.260481
-0.314617,-0.223006,0.254159
-0.300938,-0.239114,0.245204
-0.296584,-0.252976,0.234606
-0.291859,-0.265554,0.225057
-0.273275,-0.27279,0.217085
-0.259016,-0.283489,0.209709
-0.246844,-0.282802,0.202646
-0.237851,-0.291561,0.20007
-0.215332,-0.293672,0.197426
-0.195888,-0.293759,0.195879
-0.179204,-0.295818,0.196051
-0.164481,-0.292276,0.196894
-0.145094,-0.281897,0.195243
-0.134365,-0.27633,0.195552
-0.114188,-0.266914,0.200068
-0.091961,-0.255813,0.201751
-0.069995,-0.248311,0.207081
-0.051607,-0.235876,0.210292
-0.029089,-0.224015,0.214823
-0.00999,-0.208931,0.21759
0.012351,-0.202642,0.228038
0.033479,-0.194819,0.229832
0.056905,-0.180678,0.235111
0.078385,-0.172712,0.242702
0.10133,-0.162131,0.256195
0.116471,-0.147887,0.25453
0.136777,-0.135928,0.259645
0.151629,-0.120501,0.264468
0.175231,-0.109811,0.274671
0.189451,-0.100021,0.282613
0.204528,-0.089373,0.289587
0.21931,-0.0815,0.295072
0.236388,-0.069241,0.299614
0.250933,-0.058271,0.305911
0.260351,-0.047216,0.310154
0.27482,-0.040317,0.314423
0.285747,-0.035343,0.316777
0.294935,-0.024009,0.318766
0.305647,-0.019063,0.321574
0.310688,-0.010404,0.325098
0.323313,0.001349,0.330547
0.3283,0.005045,0.333361
0.330509,0.011683,0.336628
0.334314,0.016864,0.341331
0.333756,0.021317,0.341796
0.33809,0.027487,0.340696
0.338029,0.031617,0.344733
0.338418,0.032283,0.348192
0.336174,0.029827,0.352503
0.330728,0.035401,0.355331
0.331884,0.036732,0.357579
0.326645,0.03983,0.361925
0.317217,0.0363,0.362787
0.313909,0.038769,0.365353
0.308008,0.036696,0.368349
0.303523,0.032953,0.374097
0.298224,0.031836,0.373756
0.291788,0.032041,0.38041
0.283899,0.029612,0.38173
0.281283,0.022428,0.389051
0.271792,0.023798,0.394205
0.264212,0.01839,0.395412
0.254523,0.01614,0.397358
0.246459,0.017265,0.402682
0.236119,0.016243,0.405125
0.225931,0.01092,0.406399
0.219216,0.011385,0.413866
0.208036,0.013574,0.415853
0.202816,0.012103,0.418862
0.191353,0.010463,0.424794
0.186355,0.010359,0.425974
0.17822,0.012345,0.428323
0.171544,0.010433,0.431839
0.159753,0.012266,0.437429
0.156014,0.015647,0.439038
0.150134,0.015063,0.437298
0.146958,0.017155,0.44029
0.14286,0.014556,0.443884
0.140768,0.021381,0.443705
0.139575,0.019562,0.444242
0.136117,0.021114,0.441945
0.136068,0.015009,0.444769
0.139081,0.020546,0.442424
0.134639,0.018949,0.442942
0.137327,0.021379,0.443745
0.139263,0.020922,0.439174
0.144003,0.021947,0.43576
0.140964,0.02198,0.434691
0.143456,0.021169,0.43167
0.142995,0.026644,0.424231
0.150893,0.026464,0.420616
0.15453,0.02797,0.414098
0.153644,0.026093,0.40782
0.15706,0.027389,0.402243
0.160005,0.030269,0.396147
0.163875,0.034193,0.385084
0.170279,0.031277,0.382694
0.165261,0.036896,0.371993
0.166173,0.03923,0.363002
0.166764,0.046564,0.351191
0.167312,0.047303,0.345575
0.162964,0.054819,0.336177
0.166024,0.059108,0.331477
0.163787,0.072777,0.317169
0.163979,0.074109,0.309027
0.157299,0.082517,0.297972
0.157794,0.091057,0.287307
0.153419,0.09818,0.276303
0.15657,0.098052,0.268281
0.154483,0.106185,0.255657
0.14871,0.116185,0.242481
0.148932,0.119742,0.237111
0.146853,0.124698,0.225598
0.146598,0.128039,0.214119
0.13847,0.136293,0.201268
0.136288,0.140352,0.194956
0.137136,0.148053,0.17888
0.131986,0.149792,0.167235
0.131949,0.1512,0.159576
0.123628,0.153757,0.148573
0.121868,0.155964,0.135673
0.119828,0.161887,0.122618
0.119051,0.164432,0.113411
0.110754,0.160798,0.101811
0.107939,0.16123,0.094038
0.111089,0.166433,0.080807
0.104167,0.166587,0.06888
0.101732,0.169287,0.057035
0.095887,0.175133,0.044463
0.091589,0.174875,0.034017
0.085486,0.174134,0.025649
0.087789,0.177278,0.011004
0.080553,0.187422,-0.000595
0.075036,0.184607,-0.013983
0.070307,0.198595,-0.030352
0.062265,0.196732,-0.040434
0.063092,0.202333,-0.055942
0.053925,0.205583,-0.066939
0.04785,0.217325,-0.080629
0.047568,0.221295,-0.091714
0.036287,0.225277,-0.104201
0.028717,0.233183,-0.115784
0.025783,0.236223,-0.124891
0.019731,0.240683,-0.139242
0.01734,0.24653,-0.148579
0.012768,0.246941,-0.159968
0.009831,0.244439,-0.162393
0.005316,0.243185,-0.173983
0.004657,0.243444,-0.182506
-0.001848,0.239391,-0.191467
-0.001545,0.232304,-0.199473
-0.003269,0.227102,-0.205979
-0.003454,0.219543,-0.211191
-0.001109,0.203595,-0.218083
0.003078,0.191944,-0.222167
0.003179,0.177627,-0.228065
0.003103,0.164831,-0.232601
0.005502,0.146735,-0.24094
0.006453,0.130472,-0.243422
0.006036,0.119668,-0.247769
0.00489,0.10319,-0.254546
0.00535,0.092935,-0.259447
0.010081,0.075663,-0.265223
0.009976,0.067022,-0.27322
0.009429,0.052752,-0.278312
0.011382,0.048775,-0.284314
